date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,261.08,266.6,261.08,266.16,1124500,0.0,0.0
2020-01-03,261.61,265.37,261.44,264.38,798500,0.0,0.0
2020-01-06,261.89,266.63,261.77,266.41,1026100,0.0,0.0
2020-01-07,266.81,267.52,265.35,266.47,915100,0.0,0.0
2020-01-08,268.0,274.77,266.8,272.88,1373900,0.0,0.0
2020-01-09,274.0,277.27,273.57,274.9,1076300,0.53,0.0
2020-01-10,276.49,276.5,273.83,275.25,1127400,0.0,0.0
2020-01-13,276.33,277.85,274.83,276.04,1697600,0.0,0.0
2020-01-14,275.63,276.31,272.09,272.68,1216400,0.0,0.0
2020-01-15,273.82,276.08,272.61,273.0,1147300,0.0,0.0
2020-01-16,274.64,276.89,273.31,276.87,834700,0.0,0.0
2020-01-17,278.49,283.0,276.35,282.85,2172700,0.0,0.0
2020-01-21,281.81,285.26,281.54,285.01,1636000,0.0,0.0
2020-01-22,286.13,291.49,285.88,290.28,2611200,0.0,0.0
2020-01-23,289.73,292.68,288.36,288.58,1659500,0.0,0.0
2020-01-24,290.0,293.0,287.26,288.08,1089900,0.0,0.0
2020-01-27,281.48,285.98,281.01,283.76,881200,0.0,0.0
2020-01-28,284.41,288.53,282.94,288.16,840900,0.0,0.0
2020-01-29,289.34,289.74,283.89,285.92,858100,0.0,0.0
2020-01-30,284.19,286.84,282.45,286.63,785000,0.0,0.0
2020-01-31,285.8,286.48,279.75,280.38,1268800,0.0,0.0
2020-02-03,283.57,285.77,281.47,282.8,1042000,0.0,0.0
2020-02-04,287.16,292.8,284.45,290.92,1345700,0.0,0.0
2020-02-05,298.82,298.82,286.62,289.81,1060700,0.0,0.0
2020-02-06,291.85,294.33,289.81,294.21,1000700,0.0,0.0
2020-02-07,293.17,295.77,291.1,294.71,921600,0.0,0.0
2020-02-10,295.05,298.02,294.09,297.74,1139800,0.0,0.0
2020-02-11,299.9,299.96,296.5,296.92,903500,0.0,0.0
2020-02-12,297.0,298.87,294.63,298.65,792300,0.0,0.0
2020-02-13,297.29,300.55,296.85,297.84,721200,0.0,0.0
2020-02-14,298.56,304.44,297.46,304.29,855300,0.0,0.0
2020-02-18,303.95,304.83,302.02,303.57,888200,0.0,0.0
2020-02-19,305.5,306.89,304.4,305.61,791600,0.0,0.0
2020-02-20,304.39,306.19,297.49,301.24,900900,0.0,0.0
2020-02-21,300.6,303.99,295.37,297.57,1173200,0.0,0.0
2020-02-24,288.44,292.7,278.01,286.43,1996800,0.0,0.0
2020-02-25,297.55,301.64,283.57,284.8,3430400,0.0,0.0
2020-02-26,286.28,290.93,278.67,280.09,2449200,0.0,0.0
2020-02-27,274.26,278.59,268.4,268.77,2246700,0.0,0.0
2020-02-28,259.62,266.12,255.59,265.85,2899400,0.0,0.0
