date,open,high,low,close,volume,dividends,stock_splits
2020-11-25,136.24,136.34,131.33,131.94,786800,0.0,0.0
2020-11-27,132.11,132.42,131.08,132.23,357100,0.0,0.0
2020-11-30,131.5,131.5,129.06,130.49,1082000,0.0,0.0
2020-12-01,131.93,133.1,131.03,132.02,985800,0.0,0.0
2020-12-02,131.97,132.28,130.61,131.21,587000,0.0,0.0
2020-12-03,130.81,132.95,130.74,131.25,610900,0.0,0.0
2020-12-04,131.55,134.38,131.35,133.5,925400,0.0,0.0
2020-12-07,133.25,134.75,132.0,132.94,742400,0.0,0.0
2020-12-08,133.6,134.32,132.32,132.94,1203400,0.0,0.0
2020-12-09,133.0,133.46,131.11,131.95,687800,0.0,0.0
2020-12-10,131.5,132.37,130.9,131.71,542600,0.0,0.0
2020-12-11,130.72,131.61,128.82,130.7,689100,0.0,0.0
2020-12-14,131.57,134.11,130.75,131.73,937000,0.0,0.0
2020-12-15,132.19,133.26,131.76,132.83,650100,0.0,0.0
2020-12-16,132.71,133.19,131.77,132.26,570100,0.0,0.0
2020-12-17,128.91,135.38,128.91,135.24,885700,0.0,0.0
2020-12-18,135.85,136.63,133.27,134.37,2098300,0.0,0.0
2020-12-21,131.75,132.13,129.3,130.99,1153600,0.0,0.0
2020-12-22,131.35,131.65,129.47,130.75,1207100,0.0,0.0
2020-12-23,131.41,132.59,129.67,129.85,782500,0.0,0.0
2020-12-24,130.46,130.53,128.25,129.23,392900,0.0,0.0
2020-12-28,130.75,131.51,129.63,131.06,954100,0.0,0.0
2020-12-29,132.01,133.89,128.84,129.47,740600,0.0,0.0
2020-12-30,129.33,131.47,129.0,130.0,483600,0.0,0.0
2020-12-31,129.82,132.17,129.4,131.79,493700,0.0,0.0
2021-01-04,131.75,132.81,125.46,127.16,1073800,0.0,0.0
2021-01-05,126.19,128.33,125.66,127.84,1026200,0.0,0.0
2021-01-06,127.22,130.37,127.22,128.9,964200,0.0,0.0
2021-01-07,129.12,132.62,128.58,131.97,1482600,0.0,0.0
2021-01-08,132.19,135.74,132.0,134.59,999400,0.0,0.0
2021-01-11,133.01,135.16,132.76,133.65,686400,0.0,0.0
2021-01-12,133.28,135.74,132.91,134.42,652400,0.0,0.0
2021-01-13,134.38,136.23,134.1,134.95,972700,0.0,0.0
2021-01-14,135.18,136.21,134.45,134.8,677700,0.0,0.0
2021-01-15,134.21,134.64,131.17,133.66,811000,0.0,0.0
2021-01-19,133.45,134.88,130.01,132.97,784300,0.0,0.0
2021-01-20,133.85,136.82,133.1,136.15,774600,0.0,0.0
2021-01-21,135.83,137.8,134.76,137.67,750200,0.0,0.0
2021-01-22,136.49,137.25,135.32,135.32,804800,0.0,0.0
2021-01-25,135.82,137.01,134.84,135.23,610100,0.0,0.0
2021-01-26,136.14,136.14,133.21,134.24,461300,0.0,0.0
2021-01-27,132.96,134.29,130.35,133.02,963400,0.0,0.0
2021-01-28,133.63,136.41,132.65,134.5,986700,0.0,0.0
2021-01-29,133.26,134.41,130.22,131.66,1108800,0.0,0.0
2021-02-01,133.47,139.31,132.71,138.16,1230700,0.0,0.0
2021-02-02,138.74,142.4,138.37,141.44,713300,0.0,0.0
2021-02-03,140.53,141.92,139.37,140.99,768200,0.0,0.0
2021-02-04,145.71,149.99,144.82,149.98,1211700,0.0,0.0
2021-02-05,151.27,151.27,147.52,150.97,630900,0.0,0.0
2021-02-08,152.08,153.95,150.02,150.39,1436100,0.0,0.0
2021-02-09,150.39,151.75,149.27,151.56,754600,0.0,0.0
2021-02-10,155.26,157.94,154.31,157.34,1034200,0.0,0.0
2021-02-11,156.98,157.1,154.16,156.91,730400,0.0,0.0
2021-02-12,157.02,157.02,154.41,155.4,573700,0.0,0.0
2021-02-16,154.78,156.77,154.66,155.93,740000,0.0,0.0
2021-02-17,155.61,158.58,154.3,157.86,871300,0.0,0.0
2021-02-18,156.8,158.08,156.55,156.65,672200,0.0,0.0
2021-02-19,157.25,162.42,156.8,160.75,1035400,0.0,0.0
2021-02-22,158.6,160.78,158.32,159.32,638000,0.0,0.0
2021-02-23,158.46,158.46,154.43,157.18,772300,0.0,0.0
2021-02-24,154.63,162.73,154.01,162.1,701000,0.4,0.0
2021-02-25,160.97,161.42,156.51,156.89,789300,0.0,0.0
2021-02-26,158.36,159.71,155.67,156.89,954900,0.0,0.0
2021-03-01,160.1,161.86,158.62,160.57,786800,0.0,0.0
2021-03-02,160.0,160.81,156.84,157.1,701700,0.0,0.0
2021-03-03,156.49,157.0,154.38,155.66,961100,0.0,0.0
2021-03-04,154.88,155.78,148.91,151.44,1072100,0.0,0.0
2021-03-05,153.82,155.25,149.22,154.48,891200,0.0,0.0
2021-03-08,154.07,157.2,152.91,155.14,774000,0.0,0.0
2021-03-09,155.87,157.32,154.17,154.47,849200,0.0,0.0
2021-03-10,155.67,158.27,154.29,156.44,684700,0.0,0.0
2021-03-11,157.11,161.01,156.18,159.99,703100,0.0,0.0
2021-03-12,161.02,162.0,158.99,160.06,639900,0.0,0.0
2021-03-15,159.69,161.34,158.5,161.27,504500,0.0,0.0
2021-03-16,162.13,162.2,160.02,160.97,524600,0.0,0.0
2021-03-17,160.15,160.63,157.57,160.4,715700,0.0,0.0
2021-03-18,157.3,159.92,156.59,157.1,766300,0.0,0.0
2021-03-19,156.27,159.42,154.74,158.03,1663400,0.0,0.0
2021-03-22,158.2,160.35,157.18,159.3,639600,0.0,0.0
2021-03-23,158.85,159.93,155.18,156.06,773300,0.0,0.0
2021-03-24,156.74,159.63,156.1,156.41,819000,0.0,0.0
2021-03-25,156.01,160.4,154.53,159.62,1004600,0.0,0.0
2021-03-26,158.75,168.03,158.59,167.9,1342600,0.0,0.0
