date,open,high,low,close,volume,dividends,stock_splits
2020-01-02,121.15,123.84,119.84,122.88,2062500,0.0,0.0
2020-01-03,121.02,123.63,120.82,123.04,1223600,0.0,0.0
2020-01-06,122.56,128.03,122.05,127.69,3583800,0.0,0.0
2020-01-07,128.23,129.2,127.32,128.15,1560400,0.0,0.0
2020-01-08,128.32,131.81,127.33,130.06,1570400,0.0,0.0
2020-01-09,131.82,135.6,131.7,135.41,2034300,0.0,0.0
2020-01-10,135.67,137.45,133.26,133.9,1243800,0.0,0.0
2020-01-13,138.59,140.49,135.15,136.07,1602500,0.0,0.0
2020-01-14,135.46,136.5,134.01,134.22,1147000,0.0,0.0
2020-01-15,134.31,137.22,134.31,134.91,994900,0.0,0.0
2020-01-16,135.72,135.98,134.31,134.72,737700,0.0,0.0
2020-01-17,135.11,135.54,132.42,132.85,2002600,0.0,0.0
2020-01-21,132.2,133.49,130.33,131.32,1078500,0.0,0.0
2020-01-22,132.6,133.86,131.35,131.46,1314400,0.0,0.0
2020-01-23,131.56,133.39,130.53,132.64,2472900,0.0,0.0
2020-01-24,145.0,150.71,140.65,146.79,8033700,0.0,0.0
2020-01-27,143.5,146.49,141.99,143.83,2569200,0.0,0.0
2020-01-28,145.02,150.0,143.71,149.27,2378400,0.0,0.0
2020-01-29,149.16,151.52,147.6,149.15,1926800,0.0,0.0
2020-01-30,146.94,151.87,146.21,149.58,1351100,0.0,0.0
2020-01-31,149.52,149.79,146.27,147.0,991300,0.0,0.0
2020-02-03,146.9,149.48,144.72,149.4,910200,0.0,0.0
2020-02-04,149.71,152.68,148.55,152.09,1523300,0.0,0.0
2020-02-05,153.01,153.7,144.52,146.58,1644400,0.0,0.0
2020-02-06,146.58,149.12,144.71,147.94,1352600,0.0,0.0
2020-02-07,148.09,150.66,146.68,148.0,1020500,0.0,0.0
2020-02-10,148.1,152.38,148.02,151.28,1404100,0.0,0.0
2020-02-11,152.48,153.0,147.19,149.0,942200,0.0,0.0
2020-02-12,149.46,151.59,146.61,151.54,1615000,0.0,0.0
2020-02-13,150.53,155.0,149.94,153.25,2068100,0.0,0.0
2020-02-14,153.24,154.49,151.65,154.42,1043700,0.0,0.0
2020-02-18,154.05,155.78,152.62,153.88,1620900,0.0,0.0
2020-02-19,153.93,156.12,151.3,152.05,2000000,0.0,0.0
2020-02-20,152.09,152.18,144.45,148.98,1106300,0.0,0.0
2020-02-21,147.62,148.38,143.28,145.93,986500,0.0,0.0
2020-02-24,138.52,147.75,136.0,147.11,2168200,0.0,0.0
2020-02-25,147.93,149.0,142.57,144.48,2088000,0.0,0.0
2020-02-26,144.13,149.94,143.75,146.5,1539900,0.0,0.0
2020-02-27,140.68,147.0,137.34,143.0,2226700,0.0,0.0
2020-02-28,137.23,145.0,137.22,144.96,2220800,0.0,0.0
2020-03-02,147.57,149.83,142.53,146.82,2051500,0.0,0.0
2020-03-03,147.54,151.57,141.16,145.72,2637000,0.0,0.0
2020-03-04,148.0,154.39,146.5,153.47,1751800,0.0,0.0
2020-03-05,151.99,155.3,149.53,152.21,1444500,0.0,0.0
2020-03-06,150.57,151.09,139.46,144.36,2462100,0.0,0.0
2020-03-09,134.58,136.0,128.53,133.0,3123700,0.0,0.0
2020-03-10,136.66,137.33,130.87,135.59,2008500,0.0,0.0
2020-03-11,132.77,133.96,122.82,130.54,3156700,0.0,0.0
2020-03-12,117.67,130.48,117.23,125.01,2241800,0.0,0.0
2020-03-13,129.26,130.39,120.03,127.94,2868300,0.0,0.0
2020-03-16,118.48,127.79,110.01,120.57,1826300,0.0,0.0
2020-03-17,123.32,128.48,119.63,124.38,2245500,0.0,0.0
2020-03-18,116.63,124.98,111.91,122.03,1810600,0.0,0.0
2020-03-19,121.59,130.56,116.51,121.56,2769300,0.0,0.0
2020-03-20,123.65,134.38,121.85,125.9,3112500,0.0,0.0
2020-03-23,125.9,134.43,120.91,128.09,2003400,0.0,0.0
2020-03-24,133.21,139.87,132.2,138.2,2475200,0.0,0.0
2020-03-25,136.06,149.7,135.51,139.16,2745100,0.0,0.0
2020-03-26,138.56,148.51,138.56,148.2,1794700,0.0,0.0
2020-03-27,146.0,147.71,141.54,142.25,1551500,0.0,0.0
2020-03-30,144.85,148.4,140.89,141.16,2274500,0.0,0.0
2020-03-31,139.86,143.0,137.11,137.26,1521700,0.0,0.0
2020-04-01,132.96,134.67,129.61,134.05,1615300,0.0,0.0
2020-04-02,132.74,134.77,126.54,129.01,1474700,0.0,0.0
2020-04-03,128.5,132.48,128.5,129.96,2320200,0.0,0.0
2020-04-06,135.68,137.56,130.37,136.86,1511300,0.0,0.0
